,Número,Distrito,Barrio,Calle,Nº Finca,Número de Plazas,Longitud,Latitud
203,207,06  TETUÁN,06-05 VALDEACEDERAS,"AZUCENAS, CALLE, DE LAS",1,18,-3.6973991,40.4630291
204,208,05  CHAMARTÍN,05-06 CASTILLA,"CASTELLANA, PASEO, DE LA",S/N,24,-3.6886852,40.4665125
205,209,05  CHAMARTÍN,05-05 NUEVA ESPAÑA,"CASTILLA, PLAZA, DE",9,24,-3.6887875,40.4656872
206,210,01  CENTRO,01-06 SOL,"TRES CRUCES, CALLE, DE LAS",9,27,-3.702631,40.4197538
207,211,01  CENTRO,01-05 UNIVERSIDAD,"DESENGAÑO, CALLE, DEL",3,24,-3.7025369,40.4206168
208,212,11  CARABANCHEL,11-03 SAN ISIDRO,"MARQUES DE VADILLO, GLORIETA, DEL",9,24,-3.7165313,40.3981605
209,213,12  USERA,12-05 MOSCARDÓ,"ANTONIO LOPEZ, CALLE, DE",129,24,-3.7001575,40.3889363
210,214,15  CIUDAD LINEAL,15-05 SAN PASCUAL,"CONDESA DE VENADITO, CALLE, DE LA",2,24,-3.6569597,40.4434012
211,215,15  CIUDAD LINEAL,15-02 PUEBLO NUEVO,"GUTIERRE DE CETINA, CALLE, DE",77,24,-3.6409697,40.4296903
212,216,10  LATINA,10-02 PUERTA DEL ÁNGEL,"PUERTA DEL ANGEL, PLAZA, DE LA",3,24,-3.7288948,40.4140528
213,217,08  FUENCARRAL-EL PARDO,08-05 LA PAZ,"PEDRO RICO, CALLE, DE",frente al 4,24,-3.6891094,40.4810028
214,218,14  MORATALAZ,14-04 MEDIA LEGUA,"CAMINO DE LOS VINATEROS, CALLE, DEL",28,24,-3.6573999,40.4105519
215,219,14  MORATALAZ,14-03 MARROQUINA,"CAMINO DE LOS VINATEROS, CALLE, DEL",108,24,-3.6467783,40.4083961
216,220,14  MORATALAZ,14-04 MEDIA LEGUA,"ARROYO DE LAS PILILLAS, CALLE, DEL",frente al 4,24,-3.6514264,40.4061548
217,221,14  MORATALAZ,14-01 PAVONES,"HACIENDA DE PAVONES, CALLE, DE LA",346,24,-3.6346859,40.4004579
218,222,12  USERA,12-05 MOSCARDÓ,"EUGENIO CAXES, CALLE, DE",5,24,-3.7026887,40.3917816
219,223,10  LATINA,10-01 CÁRMENES,"ERMITA DEL SANTO, PASEO, DE LA",48,24,-3.7245226,40.4064341
220,224,10  LATINA,10-02 PUERTA DEL ÁNGEL,"CARAMUEL, CALLE, DE",frente al 52,24,-3.7288262,40.408882
221,225,13  PUENTE DE VALLECAS,13-06 NUMANCIA,"SIERRA TOLEDANA, CALLE, DE LA",33,24,-3.6601933,40.4026388
222,226,13  PUENTE DE VALLECAS,13-06 NUMANCIA,"VALDERRIBAS, CAMINO, DE",94,24,-3.6606789,40.3991986
223,227,13  PUENTE DE VALLECAS,13-02 SAN DIEGO,"ARROYO DEL OLIVAR, CALLE, DEL",4,24,-3.6661421,40.3940355
224,228,11  CARABANCHEL,11-01 COMILLA,"SAN DELFIN, CALLE, DE",9,24,-3.7080437,40.3943842
225,229,15  CIUDAD LINEAL,15-04 CONCEPCIÓN,"JOSE DEL HIERRO, CALLE, DE",5,24,-3.6486507,40.4370782
226,230,15  CIUDAD LINEAL,15-05 SAN PASCUAL,"CARLOTA O'NEILL, CALLE, DE",32,24,-3.6491034,40.4436986
